Precip station,date,time,ppt (in)

SMSC,1/1/2002,30,0

SMSC,1/1/2002,100,0

SMSC,1/1/2002,130,0

SMSC,1/1/2002,200,0

SMSC,1/1/2002,230,0

SMSC,1/1/2002,300,0

SMSC,1/1/2002,330,0

SMSC,1/1/2002,400,0

SMSC,1/1/2002,430,0

SMSC,1/1/2002,500,0

SMSC,1/1/2002,530,0

SMSC,1/1/2002,600,0

SMSC,1/1/2002,630,0

SMSC,1/1/2002,700,0

SMSC,1/1/2002,730,0

SMSC,1/1/2002,800,0

SMSC,1/1/2002,830,0

SMSC,1/1/2002,900,0

SMSC,1/1/2002,930,0

SMSC,1/1/2002,1000,0

SMSC,1/1/2002,1030,0

SMSC,1/1/2002,1100,0

SMSC,1/1/2002,1130,0

SMSC,1/1/2002,1200,0

SMSC,1/1/2002,1230,0

SMSC,1/1/2002,1300,0

SMSC,1/1/2002,1330,0

SMSC,1/1/2002,1400,0

SMSC,1/1/2002,1430,0

SMSC,1/1/2002,1500,0

SMSC,1/1/2002,1530,0

SMSC,1/1/2002,1600,0

SMSC,1/1/2002,1630,0

SMSC,1/1/2002,1700,0

SMSC,1/1/2002,1730,0

SMSC,1/1/2002,1800,0

SMSC,1/1/2002,1830,0

SMSC,1/1/2002,1900,0

SMSC,1/1/2002,1930,0

SMSC,1/1/2002,2000,0

SMSC,1/1/2002,2030,0

SMSC,1/1/2002,2100,0

SMSC,1/1/2002,2130,0

SMSC,1/1/2002,2200,0

SMSC,1/1/2002,2230,0

SMSC,1/1/2002,2300,0

SMSC,1/1/2002,2330,0

SMSC,1/1/2002,2400,0

SMSC,1/2/2002,30,0

SMSC,1/2/2002,100,0

SMSC,1/2/2002,130,0

SMSC,1/2/2002,200,0

SMSC,1/2/2002,230,0

SMSC,1/2/2002,300,0

SMSC,1/2/2002,330,0

SMSC,1/2/2002,400,0

SMSC,1/2/2002,430,0

SMSC,1/2/2002,500,0

SMSC,1/2/2002,530,0

SMSC,1/2/2002,600,0

SMSC,1/2/2002,630,0

SMSC,1/2/2002,700,0

SMSC,1/2/2002,730,0

SMSC,1/2/2002,800,0

SMSC,1/2/2002,830,0

SMSC,1/2/2002,900,0

SMSC,1/2/2002,930,0

SMSC,1/2/2002,1000,0

SMSC,1/2/2002,1030,0

SMSC,1/2/2002,1100,0

SMSC,1/2/2002,1130,0

SMSC,1/2/2002,1200,0

SMSC,1/2/2002,1230,0

SMSC,1/2/2002,1300,0

SMSC,1/2/2002,1330,0

SMSC,1/2/2002,1400,0

SMSC,1/2/2002,1430,0

SMSC,1/2/2002,1500,0

SMSC,1/2/2002,1530,0

SMSC,1/2/2002,1600,0

SMSC,1/2/2002,1630,0

SMSC,1/2/2002,1700,0

SMSC,1/2/2002,1730,0

SMSC,1/2/2002,1800,0

SMSC,1/2/2002,1830,0

SMSC,1/2/2002,1900,0

SMSC,1/2/2002,1930,0

SMSC,1/2/2002,2000,0

SMSC,1/2/2002,2030,0

SMSC,1/2/2002,2100,0

SMSC,1/2/2002,2130,0

SMSC,1/2/2002,2200,0

SMSC,1/2/2002,2230,0

SMSC,1/2/2002,2300,0

SMSC,1/2/2002,2330,0

SMSC,1/2/2002,2400,0

SMSC,1/3/2002,30,0

SMSC,1/3/2002,100,0

SMSC,1/3/2002,130,0

SMSC,1/3/2002,200,0

SMSC,1/3/2002,230,0

SMSC,1/3/2002,300,0

SMSC,1/3/2002,330,0

SMSC,1/3/2002,400,0

SMSC,1/3/2002,430,0

SMSC,1/3/2002,500,0

SMSC,1/3/2002,530,0

SMSC,1/3/2002,600,0

SMSC,1/3/2002,630,0

SMSC,1/3/2002,700,0

SMSC,1/3/2002,730,0

SMSC,1/3/2002,800,0

SMSC,1/3/2002,830,0

SMSC,1/3/2002,900,0

SMSC,1/3/2002,930,0

SMSC,1/3/2002,1000,0

SMSC,1/3/2002,1030,0

SMSC,1/3/2002,1100,0

SMSC,1/3/2002,1130,0

SMSC,1/3/2002,1200,0

SMSC,1/3/2002,1230,0

SMSC,1/3/2002,1300,0

SMSC,1/3/2002,1330,0

SMSC,1/3/2002,1400,0

SMSC,1/3/2002,1430,0

SMSC,1/3/2002,1500,0

SMSC,1/3/2002,1530,0

SMSC,1/3/2002,1600,0

SMSC,1/3/2002,1630,0

SMSC,1/3/2002,1700,0

SMSC,1/3/2002,1730,0

SMSC,1/3/2002,1800,0

SMSC,1/3/2002,1830,0

SMSC,1/3/2002,1900,0

SMSC,1/3/2002,1930,0

SMSC,1/3/2002,2000,0

SMSC,1/3/2002,2030,0

SMSC,1/3/2002,2100,0

SMSC,1/3/2002,2130,0

SMSC,1/3/2002,2200,0

SMSC,1/3/2002,2230,0

SMSC,1/3/2002,2300,0

SMSC,1/3/2002,2330,0

SMSC,1/3/2002,2400,0

SMSC,1/4/2002,30,0

SMSC,1/4/2002,100,0

SMSC,1/4/2002,130,0

SMSC,1/4/2002,200,0

SMSC,1/4/2002,230,0

SMSC,1/4/2002,300,0

SMSC,1/4/2002,330,0

SMSC,1/4/2002,400,0

SMSC,1/4/2002,430,0

