,,,,,,,,,,,"TP, µg/l",,,"SRP, µg/l",,,"TN, mg/l",,"CLA, µg/l",,"Secchi, m","Chloride, mg/l","TSS, mg/l",,"VSS, mg/l",,

Site,Site_ID,Date,Time,Depth,Sonde Depth,"Temp, oC","DO, mg/l","DO, Sat %","SpCond, µS/cm",pH,TP Value,"TP, mg/l",TP RL,SRP Value ug/l,"SRP, mg/l",SRP RL,TN Value mg/l,TN RL,CLA Value ug/l,CLA RL,"Secchi Value, m","Chloride value, mg/l","TSS Value, mg/l",TSS RL,"VSS Value, mg/l",VSS RL,Comments

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,0,0.515,11.68,11,101.5,449,8.12,56.1,0.0561,,4.6,0.0046,6,1.33,,12,,1.85,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,1,1.017,11.68,10.31,95.1,449,7.8,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,2,2.054,11.58,10.14,93.3,449,8.08,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,3,3.003,11.53,10.1,92.9,449,8.13,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,4,4.026,11.41,10.06,92.2,449,8.13,69.8,0.0698,,9.03,0.00903,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,5,4.988,11.24,9.98,91.1,449,8.16,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,6,6.03,11.06,9.8,89.1,450,8.06,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,7,7.037,11,9.46,85.9,450,8.06,,,,,,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

Fish-Prior & Spring Lake WD,FL_3R,4/17/2012,10:00,8,8.004,10.91,9.36,84.8,450,8.03,57.1,0.0571,,7.57,0.00757,,,,,,,,,,,,The time value was made up to allow recording in the WQDB.

